Date,Close,High,Low,Open,Volume
,CSCO,CSCO,CSCO,CSCO,CSCO
2017-11-10,27.085519790649414,27.1652053015671,26.83051946813656,27.14130025625327,19319400
2017-11-13,27.05364227294922,27.260826409157097,26.958019059299975,26.981924102760498,16441500
2017-11-14,27.1253604888916,27.220983702702135,26.934111021463377,26.981924148272224,17468500
2017-11-15,27.181142807006836,27.340516867449328,26.894270106171824,27.0695818766393,30829600
2017-11-16,28.59160041809082,29.221123293396865,28.55175765987767,28.719099068257467,61177100
2017-11-17,28.607532501220703,28.942215252136325,28.5358143346235,28.607532501220703,27988000
2017-11-20,29.085649490356445,29.117524904283066,28.631435481225832,28.631435481225832,26897800
2017-11-21,29.205184936523438,29.460182204678347,29.1494044741025,29.28487044289414,24146400
2017-11-22,29.045808792114258,29.260963291588524,28.974090625622836,29.245025583500766,17226400
2017-11-24,29.07767677307129,29.141424549314902,28.942207808868503,29.013925957021456,6155800
2017-11-27,29.38050079345703,29.555812597815123,29.085660700515838,29.093628037164862,20942200
2017-11-28,30.0658016204834,30.121582085991314,29.46815117020656,29.484088880324162,30966600
2017-11-29,29.8665771484375,30.304853425008407,29.667360382741034,30.081731620166476,36788600
2017-11-30,29.723146438598633,30.121580045120883,29.72314643859863,29.978143703588298,30749500
2017-12-01,29.962202072143555,30.010015192997503,29.268928538698557,29.5558011842087,26920900
2017-12-04,30.05783462524414,30.272989154553812,29.914398272371024,30.129552801680695,29414400
2017-12-05,29.73111343383789,30.137514328784658,29.61954948325378,30.073766539686286,23288200
2017-12-06,29.810791015625,30.057820852337883,29.683292431471322,29.778915609635074,16581800
2017-12-07,29.802837371826172,30.105644748385238,29.691273399622524,29.691273399622524,17092000
2017-12-08,29.97017478942871,30.033922582412785,29.81876808145338,29.95423708123094,14044400
2017-12-11,30.249080657958984,30.312831498283625,29.938302910894816,29.954240620975973,16749500
2017-12-12,30.209226608276367,30.360630237730746,29.930324385648245,30.113603423347616,16658600
2017-12-13,30.40049171447754,30.575800470728854,30.280960391744895,30.352678577422918,20199500
2017-12-14,30.20127296447754,30.496113024860833,30.16142716620855,30.440332555053388,16738300
2017-12-15,30.43235969543457,30.50407787073409,30.041896438654035,30.288923344835535,47167700
2017-12-18,30.663448333740234,30.990163751815107,30.520011999970098,30.663448333740238,21591400
2017-12-19,30.520023345947266,30.96627022132752,30.5040856318471,30.80689612013399,19695200
2017-12-20,30.87063217163086,30.918442251194513,30.448290550042916,30.671415400631144,18939500
2017-12-21,30.703285217285156,31.069846355656672,30.671412846832077,30.98219049734623,16387500
2017-12-22,30.719228744506836,30.870635452031802,30.655480951712384,30.69532370218479,11441600
2017-12-26,30.663448333740234,30.822822375685615,30.567825124495815,30.719228792450068,8186100
2017-12-27,30.727197647094727,30.7989158104336,30.639541776368677,30.71125993970755,10543000
2017-12-28,30.75110626220703,30.862667187076177,30.639545337337882,30.862667187076177,8807700
2017-12-29,30.520023345947266,30.775020691933655,30.52002334594727,30.607679253594117,12583600
2018-01-02,30.966270446777344,31.03798864084617,30.623617190649423,30.81486368162751,20135700
2018-01-03,31.21328353881836,31.300939408127757,30.703289069898393,30.85469576772619,29536000
2018-01-04,31.301591873168945,31.743137164471953,31.253422126625374,31.349758557232597,20731400
2018-01-05,31.735122680664062,32.016108410923714,31.606673023610945,31.751179270605878,24588200
2018-01-08,32.064266204833984,32.08032279031229,31.590607651906048,31.727087097231323,16582000
2018-01-09,31.863561630249023,32.080320927901376,31.743141839873516,31.943844552979726,21449800
2018-01-10,32.04017639160156,32.30510540480549,31.81539036523212,31.831446947469924,19473000
2018-01-11,32.192718505859375,32.281028202100536,31.911735892801865,32.22483167948903,21685600
2018-01-12,32.81087875366211,32.859048507407046,32.15257409821648,32.28905353592029,23770500
2018-01-16,32.54594802856445,33.04368982824849,32.36932868634628,32.83496038401967,32845000
2018-01-17,33.0758171081543,33.17215358025855,32.68243833146662,32.78680462936028,24427100
2018-01-18,33.15609359741211,33.30059982201793,32.93933426050338,33.10792689753078,19610200
2018-01-19,33.14805603027344,33.33270213208837,32.99552003041943,33.14002620792327,24582000
2018-01-22,33.445098876953125,33.445098876953125,32.93130043848983,33.07580663211766,22995100
2018-01-23,33.79833984375,33.822426254789455,33.348767670756786,33.348767670756786,23984500
2018-01-24,33.854530334472656,34.27199232251382,33.72608072757385,33.878616741221315,26696200
2018-01-25,33.63778305053711,34.09538508812957,33.57355669877907,33.934822271215495,19207500
2018-01-26,34.16763687133789,34.16763687133789,33.677921676947264,33.83848448760531,23380400
2018-01-29,34.40044021606445,34.50480647349673,33.95889490574643,33.95889490574643,23625900
2018-01-30,33.91876220703125,34.40847737031311,33.69397612387788,34.27199791805521,28993900
2018-01-31,33.348758697509766,33.726077660819804,33.19622269773259,33.70199431874127,36512100
2018-02-01,33.477210998535156,33.80636330429197,32.65031379140547,32.98749592015742,26148500
2018-02-02,32.859046936035156,33.67791433565733,32.81087718459377,33.316648856047514,27224200
2018-02-05,31.132999420166016,33.244392517279266,31.08483273590331,32.81087398403534,52399600
2018-02-06,32.24892044067383,32.36131656724061,29.98499338201102,30.771750955571907,55171600
2018-02-07,32.38539505004883,33.08383974503233,32.136522543799146,32.3613117006469,32690800
2018-02-08,31.12497901916504,32.72257099818723,31.084839086585486,32.46567175470144,42982100
2018-02-09,31.735122680664062,32.04821852832595,30.69146883429731,31.309633765890872,51304200
2018-02-12,32.594112396240234,32.84298480963396,32.29707330201396,32.52988913430361,38210700
2018-02-13,33.09989547729492,33.16412182401582,32.28905775606852,32.513843844630145,30999100
2018-02-14,33.790321350097656,33.926797775299974,32.9072303120739,32.94737025698743,43835900
2018-02-15,35.387908935546875,36.2308598393582,34.729601124376785,36.1826900787904,72267500
2018-02-16,35.58860778808594,36.19874270952646,35.15508917779688,35.23536904082206,39267500
2018-02-20,35.371849060058594,35.877617717834,35.17114633674059,35.323679303969286,29006900
2018-02-21,34.76973342895508,35.660850756780775,34.7456470248388,35.41198139325822,28499200
2018-02-22,34.47270202636719,34.97044703386603,34.320169044219305,34.914250510838876,25887600
2018-02-23,35.32367706298828,35.35579023167718,34.45663988326983,34.81790537481918,25781400
